EventId,EventTemplate,Occurrences
133,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}",3
134,ARPT: <*>: AQM agg params <*> maxlen hi/lo <*> <*> minlen <*> adjlen <*>,7
135,Received Capture Event,15
136,Sandbox: <*> deny(<*>) mach-lookup com.apple.networking.captivenetworksupport,3
137,[<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
138,sigio_handler: sigio_handler_active != <*>,5
139,<*>######################## _getSysMsgList</h6>,10
140,"Configuration Notice: ASL Module ""<*>"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",2
141,Wake reason: <*>,2
142,<*>: Scanning mode Contacts Only,7
143,<*>: BTLE scanning stopped,2
144,wake time set +<*> s,3
145,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,1
146,mDNS_DeregisterInterface: frequent transitions for interface en0 (<*>),2
147,AppleCamIn::handleWakeEvent_gated,15
148,<*>:<*>:<*> : Purged contact hashes,2
149,<*>: BTLE scanning started,2
150,"IOPMrootDomain: idle cancel, state <*>",3
151,ARPT: <*>: ARPT: Wake Reason: Wake on TCP Timeout,2
152,"hibernate_alloc_pages act <*>, inact <*>, anon <*>, throt <*>, spec <*>, wire <*>, wireinit <*>",2
153,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,2
154,enabling pid=<*> for plug-in <*> <*> <*>,1
155,"2017-07-03 10:40:41.730 GoogleSoftwareUpdateAgent[33263/0x700000323000] [lvl=2] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:0x10062de70 ticketStore=\<KSPersistentTicketStore:0x1005206e0 store=\<KSKeyedPersistentStore:0x1005282c0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=\<KSLockFile:0x100510480 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=\<KSActionProcessor:0x10062e060 delegate=\<KSUpdateEngine:0x10062de70> is Processing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=() > delegate=(null) serverInfoStore=\<KSServerPrivateInfoStore:0x10062d2d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",1
156,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,1
157,[<*>] itemasync_CopyProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,4
158,"Opened file <*>, size <*>, extents <*>, maxio <*> ssd <*>",3
159,"NETWORK: no response from server, reachability, <*>, queryRetries, <*>",4
160,"Unexpected payload found for message <*>, dataLen <*>",2
161,CCFile::captureLog,17
162,en0: Supported channels <*>,4
163,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,12
164,Internal name did not resolve to internal address!,1
165,Service exited with abnormal code: <*>,1
166,Central manager is not powered on,1
167,"CCFile::captureLogRun Skipping current file Dir file <*>-<*>.xml, Current File <*>-<*>.xml",11
168,"CCFile::copyFile fileName is [<*>-<*>-<*>.<*>, source path:<*>, dest path:<*>",1
169,ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,8
170,<IMMacNotificationCenterManager: <*>:  DND Enabled: YES,1
171,<*>: Starting AirDrop server for user <*> on wake,2
172,ARPT: <*>: wl0: setup_keepalive: Remote IP: <*>,8
173,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*> sec.",1
174,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
175,"CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>]-<*>, source path:<*>, dest path:<*>",20
176,"CCLogTap::profileRemoved, Owner: <*>, Name: OneStats",1
177,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> sec. to complete, <*> reads >= <*> sec.",2
178,"CCFile::captureLogRun Skipping current file Dir file [<*>-<*>]-AirPortBrcm4360_Logs-<*>.txt, Current File [<*>-<*>]-AirPortBrcm4360_Logs-<*>.txt",16
179,"CCFile::captureLogRun Skipping current file Dir file <*>-io80211Family-<*>.pcapng, Current File <*>-io80211Family-<*>.pcapng",4
180,network changed: <*> DNS-Proxy-,2
181,ARPT: <*>: wlc_dump_aggfifo:,6
182,[<*>:<*>:<*>] <<<< <*>>>>> crabsFlumeHostUnavailable: [<*>] Byte flume reports host unavailable.,2
183,doSaveChannels@<*>: Will write to: <*> - AuthFail:sts:<*>_rsn:<*>.xml,4
184,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@<*> failed: [<*>] Network is unreachable,1
185,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:<*>] Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}",1
186,hibernate image path: <*>,2
187,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,2
188,"hibernate_machine_init pagesDone <*> sum2 <*>, time: <*> ms, disk(<*>) <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",2
189,ASSERTION FAILED: dvcAddrRef != ((void *)<*>) -[DriverServices getDeviceAddress:] line: <*>,4
190,hibernate_machine_init reading,2
191,assertion failed: <*> [<*>-<*>-<*>-<*>-<*>]: <*>,3
192,jemmytest,10
193,hibernate_setup(<*>) took <*> ms,2
194,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- calling IOBluetoothFamily's registerService() -- <*> -- <*> -- <*> ****,2
195,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****,1
196,hciControllerOnline; HID devices? <*>,1
197,INIT -- Host controller is published,2
198,"polled file <*>, minor <*>, blocksize <*>, pollers <*>",3
199,BuildActDeviceEntry exit,2
200,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Standby, 'ExternalConnected': No, 'TimeRemaining': <*>",1
201,Wake reason: ARPT (Network),3
202,AppleActuatorHIDEventDriver: message service is terminated,1
203,"CCFile::captureLog Received Capture notice id: <*>, reason = DeauthInd:sts:<*>_rsn:<*>",1
204,payload Data <*> <*>,1
205,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,2
206,"hibernate_teardown: wired_pages <*>, free_pages <*>, active_pages <*>, inactive_pages <*>, speculative_pages <*>,cleaned_pages <*>, compressor_pages <*>",1
207,[BluetoothHIDDeviceController] EventServiceConnectedCallback,2
208,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,1
209,BuildActDeviceEntry enter,2
210,(ImportBailout.Error:<*>) Asked to exit for Diskarb,1
211,<KSTicket:<*> productID=<*> version=<*> xc=<*> url=<*> creationDate=<*> ticketVersion=<*>)} Using server: <KSOmahaServer:<*> engine=<*>,1
212,KeychainGetICDPStatus: status: off,8
213,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Sleep,17
214,<*> tcp_connection_tls_session_error_callback_imp <*> tcp_connection_tls_session_handle_read_error.<*> error <*>,1
215,Checking iCDP status for DSID <*> (checkWithServer=<*>),1
216,"<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] +[KSCodeSigningVerification verifyBundle:applicationId:error:] KSCodeSigningVerification verifying code signing for '<*>' with the requirement 'anchor apple generic and certificate <*>[<*>/<*>] exists and certificate leaf <*>[<*>/<*>] exists and certificate leaf <*>[subject.OU]=""<*>"" and (identifier=""<*>"")'",1
217,<*>-<*>-<*> <*>:<*>:<*> <*>:<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch done fetching.,1
218,network changed: <*> DNS+ Proxy+ SMB,1
219,-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid,4
220,"CCFile::captureLog Received Capture notice id: <*>, reason = AssocFail:sts:<*>_rsn:<*>",3
221,"CCLogTap::profileRemoved, Owner: <*>, Name: IO80211AWDLPeerManager",2
222,extension <*> -> (null),1
223,"[Accounts] Current connection, <NSXPCConnection: <*>> connection from pid <*>, doesn't have account access.",2
224,"[Accounts] Failed to update account with identifier <*>, error: Error Domain=ABAddressBookErrorDomain Code=<*> ""(<*>)""",2
225,Session <*> created,1
226,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: <*>,3
227,kern_open_file_for_direct_io took <*> ms,1
228,CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake,3
229,Peripheral manager is not powered on,3
230,"PM response took <*> ms (<*>, WeChat)",1
231,Cocoa scripting error for <*>: four character codes must be four characters long.,71
232,<*> warning for argument <*> of command 'can continue previous list' in suite 'Microsoft Word Suite': <*> is not a valid type name.,1
233,objc[<*>]: Class TSUAtomicLRUCache is implemented in both <*> and <*>. One of the two will be used. Which one is undefined.,1
234,Invalidating watch set.,1
235,objc[<*>]: Class TSUCustomFormatData is implemented in both <*> and <*>. One of the two will be used. Which one is undefined.,1
236,<*>:<*>:<*> : Started generating hashes,1
237,-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,1
238,-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.,1
239,[<*> signalled err=<*>,1
240,[<<<< <*>>>>>> crabsWaitForLoad: [<*>] Wait time out - <*> (msRequestTimeout <*>),1
241,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}",1
242,Failed to stop a scan - central is not powered on: <*>,1
243,Wake reason: EC.Sleeptimer (SleepTimer),1
244,**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- <*> ****,3
245,"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>",2
246,vm_compressor_fastwake_warmup (<*> - <*>) - starting,1
247,<IMMacNotificationCenterManager: <*>: Updating enabled: YES (Topics: (<*>)),1
248,<*>-<*>-<*> <*>:<*>:<*> Fetcher received a request: <NSMutableURLRequest: <*>> { URL: <*> },1
249,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,1
250,<IMMacNotificationCenterManager: <*>: notification observer: <*>notification: __CFNotification <*> {name = <*>},1
251,CCProfileMonitor::freeResources done,1
252,<IMMacNotificationCenterManager: <*>: NC Disabled: NO,5
253,<IMMacNotificationCenterManager: <*>:  DND Enabled: NO,2
254,Daemon connection invalidated!,1
255,doSaveChannels@<*>: Will write to: <*> - AssocFail:sts:<*>_rsn:<*>.xml,2
256,"ARPT: <*>: IOPMPowerSource Information: onWake, SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>",2
257,IOHibernatePollerOpen(<*>),2
258,"hibernate_machine_init: state <*>, image pages <*>, sum was <*>, imageSize <*>, image1Size <*>, conflictCount <*>, nextFree <*>",1
259,hibernate_rebuild completed - took <*> msecs,1
260,AppleActuatorDevice::stop Entered,1
261,AppleActuatorDevice::start Entered,1
262,"bitmap_size <*>, previewSize <*>, writing <*> pages @ <*>",2
263,"CCFile::captureLog Received Capture notice id: <*>, reason = RoamFail:sts:<*>_rsn:<*>",1
264,en0: manual intervention required!,1
265,"DB Error: <*> ""no such table: tb_c2cMsg_<*>""",3
266,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: <*>,1
267,<IMMacNotificationCenterManager: <*>>: Updating enabled: NO (Topics: ( )),1
268,"arp_client_transmit(en0) failed, Network is down (<*>)",1
269,<*> -[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*>,5
270,could discard act <*> inact <*> purgeable <*> spec <*>cleaned <*>,2
271,"booter start at <*> ms smc <*> ms, [<*>, <*>, <*>] total <*> ms, dsply <*>, <*> ms, tramp <*> ms",1
272,"hostControllerOnline - Number of Paired devices = <*>, List of Paired devices = (<*>)",1
273,**** [BroadcomBluetoothHostController][SetupController] -- Delay HCI Reset by <*> ****,1
274,AppleActuatorHIDEventDriver: stop,2
275,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = TRUE -- <*> ****,2
276,AppleActuatorDeviceUserClient::start Entered,1
277,<*>-<*>-<*> <*>:<*>:<*> <*>:<*> Fetcher is exiting.,1
